concept_id,code,codetype,descrip
19017144,731461,PR00,glimepiride 2 MG / pioglitazone 30 MG [Duetact]
19018043,153844,PR00,glimepiride 3 MG Oral Tablet [Amaryl]
19021312,199150,PR00,acarbose 100 MG Oral Tablet
19021786,569871,PR00,acarbose 50 MG [Precose]
19021787,569872,PR00,acarbose 100 MG [Precose]
19023063,200132,PR00,acarbose 25 MG Oral Tablet
19023585,565327,PR00,glimepiride 2 MG [Amaryl]
19024502,201056,PR00,glyburide 2.5 MG Oral Tablet [Libanil]
19024503,201057,PR00,glyburide 2.5 MG Oral Tablet [Semi-Daonil]
19024504,201058,PR00,glyburide 2.5 MG Oral Tablet [Euglucon]
19024505,201059,PR00,glyburide 2.5 MG Oral Tablet [Malix]
19024506,201060,PR00,glyburide 2.5 MG Oral Tablet [Diabetamide]
19024507,201061,PR00,glyburide 5 MG Oral Tablet [Libanil]
19024508,201062,PR00,glyburide 5 MG Oral Tablet [Euglucon]
19024509,201063,PR00,glyburide 5 MG Oral Tablet [Malix]
19024510,201064,PR00,glyburide 5 MG Oral Tablet [Diabetamide]
19025946,201921,PR00,glipizide 5 MG Oral Tablet [Glibenese]
19025947,201922,PR00,glipizide 2.5 MG Oral Tablet [Minidiab]
19027257,204045,PR00,metformin hydrochloride 500 MG Oral Tablet [Orabet Metformin]
19027259,204047,PR00,metformin hydrochloride 850 MG Oral Tablet [Orabet Metformin]
19029029,205329,PR00,miglitol 25 MG Oral Tablet
19029030,205330,PR00,miglitol 50 MG Oral Tablet
19029061,205331,PR00,miglitol 100 MG Oral Tablet
19030443,205828,PR00,glipizide 5 MG Oral Tablet [Glucotrol]
19030445,205830,PR00,glipizide 10 MG Oral Tablet [Glucotrol]
19030572,205872,PR00,glyburide 1.25 MG Oral Tablet [Diabeta]
19030573,205873,PR00,glyburide 1.25 MG Oral Tablet [Micronase]
19030575,205875,PR00,glyburide 2.5 MG Oral Tablet [Diabeta]
19030576,205876,PR00,glyburide 2.5 MG Oral Tablet [Micronase]
19030579,205879,PR00,glyburide 5 MG Oral Tablet [Diabeta]
19030580,205880,PR00,glyburide 5 MG Oral Tablet [Micronase]
19040969,209247,PR00,acarbose 50 MG Oral Tablet [Precose]
19040970,209248,PR00,acarbose 100 MG Oral Tablet [Precose]
19045624,566762,PR00,glyburide 1.25 MG [Micronase]
19045625,566765,PR00,glyburide 2.5 MG [Micronase]
19045626,566769,PR00,glyburide 5 MG [Micronase]
19045628,566761,PR00,glyburide 1.25 MG [Diabeta]
19045629,566764,PR00,glyburide 2.5 MG [Diabeta]
19045630,566768,PR00,glyburide 5 MG [Diabeta]
19047612,213170,PR00,acarbose 25 MG Oral Tablet [Precose]
19047638,566718,PR00,glipizide 5 MG [Glucotrol]
19048032,847714,PR00,glimepiride 1 MG / rosiglitazone 4 MG [Avandaryl]
19048034,847718,PR00,glimepiride 2 MG / rosiglitazone 8 MG [Avandaryl]
19048036,847722,PR00,glimepiride 4 MG / rosiglitazone 8 MG [Avandaryl]
19060409,246391,PR00,glyburide 2.5 MG / phenformin 25 MG Oral Tablet
19060469,246522,PR00,chlorpropamide 125 MG / metformin 400 MG Oral Tablet
19060491,246524,PR00,glyburide 5 MG / phenformin 50 MG Oral Tablet
19061542,249026,PR00,"insulin, regular, human 40 UNT/ML Injectable Solution"
19061670,249220,PR00,"insulin, regular, human 500 UNT/ML Injectable Solution"
19062458,575148,PR00,"insulin, regular, human 100 UNT/ML [Humulin R]"
19062459,575628,PR00,"insulin, regular, human 500 UNT/ML [Humulin R]"
19062999,573331,PR00,"insulin isophane, human 70 UNT/ML / insulin, regular, human 30 UNT/ML [Novolin]"
19063035,575146,PR00,"insulin, regular, human 100 UNT/ML [Novolin R]"
19063991,250919,PR00,glyburide 2.5 MG / metformin 400 MG Oral Tablet
19065480,252960,PR00,glyburide 4.5 MG Oral Tablet
19067200,573373,PR00,miglitol 25 MG [Glyset]
19067231,573374,PR00,miglitol 50 MG [Glyset]
19067232,573375,PR00,miglitol 100 MG [Glyset]
19067365,260286,PR00,glyburide 1.5 MG Oral Tablet [Glycron]
19067366,260287,PR00,glyburide 6 MG Oral Tablet [Glycron]
19077636,310488,PR00,glipizide 10 MG Oral Tablet
19077637,310489,PR00,24 HR glipizide 2.5 MG Extended Release Oral Tablet
