concept_id,code,codetype,descrip
42708078,1242963,PR00,exenatide 2 MG Injection
42708079,1242968,PR00,exenatide 2 MG Injection [Bydureon]
42902527,1359640,PR00,exenatide 0.005 MG/ACTUAT Pen Injector
42902689,1359802,PR00,exenatide 0.005 MG/ACTUAT Pen Injector [Byetta]
42902742,1359855,PR00,insulin glargine 100 UNT/ML Pen Injector
42902743,1359856,PR00,insulin glargine 100 UNT/ML Pen Injector [Lantus]
42902866,1359979,PR00,exenatide 0.01 MG/ACTUAT Pen Injector [Byetta]
42902992,1360105,PR00,liraglutide 6 MG/ML Pen Injector
42903341,1360454,PR00,exenatide 0.01 MG/ACTUAT Pen Injector
42903382,1360495,PR00,liraglutide 6 MG/ML Pen Injector [Victoza]
44506518,1440052,PR00,lixisenatide 0.1 MG/ML
44506520,1440056,PR00,lixisenatide 0.05 MG/ML
44506754,1440051,PR00,lixisenatide
44584054,897124,PR00,liraglutide 6 MG/ML [Victoza]
44608680,2398842,PR00,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic]
45774435,1551291,PR00,dulaglutide
45774436,1551292,PR00,dulaglutide 1.5 MG/ML
45774438,1551295,PR00,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector
45774440,1551297,PR00,dulaglutide 1.5 MG/ML [Trulicity]
45774442,1551300,PR00,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]
45774443,1551301,PR00,dulaglutide 1.5 MG/ML Auto-Injector
45774444,1551302,PR00,dulaglutide 1.5 MG/ML Auto-Injector [Trulicity]
45774445,1551303,PR00,dulaglutide 3 MG/ML
45774446,1551304,PR00,0.5 ML dulaglutide 3 MG/ML Auto-Injector
45774447,1551305,PR00,dulaglutide 3 MG/ML [Trulicity]
45774448,1551306,PR00,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity]
45774449,1551307,PR00,dulaglutide 3 MG/ML Auto-Injector
45774450,1551308,PR00,dulaglutide 3 MG/ML Auto-Injector [Trulicity]
45774531,1544916,PR00,0.65 ML exenatide 3.08 MG/ML Pen Injector
45774533,1544918,PR00,0.65 ML exenatide 3.08 MG/ML Pen Injector [Bydureon]
45774534,1544919,PR00,exenatide 3.08 MG/ML Pen Injector
45774535,1544920,PR00,exenatide 3.08 MG/ML Pen Injector [Bydureon]
45892684,1598265,PR00,liraglutide 6 MG/ML [Saxenda]
45892686,1598268,PR00,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda]
45892687,1598269,PR00,liraglutide 6 MG/ML Pen Injector [Saxenda]
46221552,1604538,PR00,insulin glargine 300 UNT/ML
46221553,1604539,PR00,1.5 ML insulin glargine 300 UNT/ML Pen Injector
